5l5vA1.pdb1	5l5vF1.pdb1	153.8
5l5vA1.pdb1	5l5vC1.pdb1	83.5
5l5vA1.pdb1	5l5vG1.pdb1	1408.05
5l5vA1.pdb1	5l5vE1.pdb1	62.85
5l5vA1.pdb1	5l5vD1.pdb1	23.6
5l5va1.pdb1	5l5vS1.pdb1	584.5
5l5va1.pdb1	5l5vT1.pdb1	450.55
5l5va1.pdb1	5l5vZ1.pdb1	964.85
5l5va1.pdb1	5l5vG1.pdb1	70.8
5l5va1.pdb1	5l5vN1.pdb1	1330.25
5l5vI1.pdb1	5l5vY1.pdb1	968.0
5l5vI1.pdb1	5l5vZ1.pdb1	712.5
5l5vI1.pdb1	5l5vJ1.pdb1	564.95
5l5vS1.pdb1	5l5vM1.pdb1	0.05
5l5vS1.pdb1	5l5vT1.pdb1	1339.8
5l5vS1.pdb1	5l5vR1.pdb1	1022.15
5l5vS1.pdb1	5l5vZ1.pdb1	346.45
5l5vS1.pdb1	5l5vO1.pdb1	60.2
5l5vS1.pdb1	5l5vP1.pdb1	129.25
5l5vL1.pdb1	5l5vM1.pdb1	959.2
5l5vL1.pdb1	5l5vV1.pdb1	1460.3
5l5vL1.pdb1	5l5vE1.pdb1	344.55
5l5vL1.pdb1	5l5vD1.pdb1	535.4
5l5vL1.pdb1	5l5vW1.pdb1	713.25
5l5vL1.pdb1	5l5vK1.pdb1	756.85
5l5vM1.pdb1	5l5vT1.pdb1	0.05
5l5vM1.pdb1	5l5vR1.pdb1	0.05
5l5vM1.pdb1	5l5vF1.pdb1	439.65
5l5vM1.pdb1	5l5vY1.pdb1	0.05
5l5vM1.pdb1	5l5vZ1.pdb1	0.05
5l5vM1.pdb1	5l5vQ1.pdb1	0.05
5l5vM1.pdb1	5l5vC1.pdb1	0.05
5l5vM1.pdb1	5l5vV1.pdb1	937.0
5l5vM1.pdb1	5l5vG1.pdb1	0.05
5l5vM1.pdb1	5l5vE1.pdb1	588.0
5l5vM1.pdb1	5l5vD1.pdb1	0.05
5l5vM1.pdb1	5l5vW1.pdb1	0.05
5l5vM1.pdb1	5l5vO1.pdb1	0.05
5l5vM1.pdb1	5l5vX1.pdb1	0.05
5l5vM1.pdb1	5l5vK1.pdb1	0.05
5l5vM1.pdb1	5l5vN1.pdb1	637.75
5l5vM1.pdb1	5l5vJ1.pdb1	0.05
5l5vM1.pdb1	5l5vP1.pdb1	0.05
5l5vT1.pdb1	5l5vO1.pdb1	150.35
5l5vT1.pdb1	5l5vP1.pdb1	142.45
5l5vR1.pdb1	5l5vY1.pdb1	394.8
5l5vR1.pdb1	5l5vZ1.pdb1	524.95
5l5vR1.pdb1	5l5vQ1.pdb1	1283.5
5l5vR1.pdb1	5l5vO1.pdb1	26.85
5l5vR1.pdb1	5l5vP1.pdb1	120.4
5l5vF1.pdb1	5l5vG1.pdb1	1375.2
5l5vF1.pdb1	5l5vE1.pdb1	1328.45
5l5vF1.pdb1	5l5vN1.pdb1	477.15
5l5vY1.pdb1	5l5vZ1.pdb1	757.15
5l5vY1.pdb1	5l5vQ1.pdb1	308.1
5l5vY1.pdb1	5l5vX1.pdb1	629.55
5l5vY1.pdb1	5l5vJ1.pdb1	796.4
5l5vQ1.pdb1	5l5vO1.pdb1	87.1
5l5vQ1.pdb1	5l5vX1.pdb1	397.15
5l5vQ1.pdb1	5l5vP1.pdb1	1548.4
5l5vC1.pdb1	5l5vD1.pdb1	1288.25
5l5vC1.pdb1	5l5vK1.pdb1	320.95
5l5vC1.pdb1	5l5vJ1.pdb1	404.6
5l5vV1.pdb1	5l5vW1.pdb1	1650.1
5l5vV1.pdb1	5l5vO1.pdb1	651.0
5l5vV1.pdb1	5l5vK1.pdb1	91.95
5l5vV1.pdb1	5l5vP1.pdb1	270.45
5l5vG1.pdb1	5l5vN1.pdb1	462.65
5l5vE1.pdb1	5l5vD1.pdb1	1022.55
5l5vD1.pdb1	5l5vK1.pdb1	394.6
5l5vW1.pdb1	5l5vO1.pdb1	529.5
5l5vW1.pdb1	5l5vX1.pdb1	564.3
5l5vW1.pdb1	5l5vK1.pdb1	973.45
5l5vW1.pdb1	5l5vP1.pdb1	469.6
5l5vO1.pdb1	5l5vP1.pdb1	1355.3
5l5vX1.pdb1	5l5vK1.pdb1	795.4
5l5vX1.pdb1	5l5vJ1.pdb1	741.65
5l5vX1.pdb1	5l5vP1.pdb1	551.95
5l5vK1.pdb1	5l5vJ1.pdb1	627.0
4l56A1.pdb1	4l56A2.pdb1	973.65
4l5nE1.pdb6	4l5nF1.pdb6	634.3
5l5qG1.pdb1	5l5qF1.pdb1	1379.75
5l5qG1.pdb1	5l5qa1.pdb1	71.9
5l5qG1.pdb1	5l5qA1.pdb1	1410.4
5l5qG1.pdb1	5l5qH1.pdb1	650.95
5l5qG1.pdb1	5l5qN1.pdb1	465.0
5l5qG1.pdb1	5l5qB1.pdb1	130.9
5l5qO1.pdb1	5l5qR1.pdb1	27.45
5l5qO1.pdb1	5l5qU1.pdb1	1422.15
5l5qO1.pdb1	5l5qV1.pdb1	660.7
5l5qO1.pdb1	5l5qW1.pdb1	527.15
5l5qO1.pdb1	5l5qT1.pdb1	152.95
5l5qO1.pdb1	5l5qQ1.pdb1	88.15
5l5qO1.pdb1	5l5qS1.pdb1	61.2
5l5qO1.pdb1	5l5qP1.pdb1	1357.05
5l5qF1.pdb1	5l5qA1.pdb1	150.8
5l5qF1.pdb1	5l5qE1.pdb1	1335.75
5l5qF1.pdb1	5l5qM1.pdb1	455.0
5l5qF1.pdb1	5l5qN1.pdb1	479.5
5l5qF1.pdb1	5l5qB1.pdb1	143.15
5l5qI1.pdb1	5l5qY1.pdb1	969.75
5l5qI1.pdb1	5l5qA1.pdb1	531.15
5l5qI1.pdb1	5l5qJ1.pdb1	573.25
5l5qI1.pdb1	5l5qH1.pdb1	1648.3
5l5qI1.pdb1	5l5qZ1.pdb1	714.95
5l5qI1.pdb1	5l5qB1.pdb1	477.0
5l5qL1.pdb1	5l5qD1.pdb1	533.0
5l5qL1.pdb1	5l5qV1.pdb1	1468.5
5l5qL1.pdb1	5l5qE1.pdb1	355.3
5l5qL1.pdb1	5l5qW1.pdb1	717.25
5l5qL1.pdb1	5l5qM1.pdb1	952.6
5l5qL1.pdb1	5l5qK1.pdb1	738.3
5l5qR1.pdb1	5l5qY1.pdb1	397.55
5l5qR1.pdb1	5l5qQ1.pdb1	1295.65
5l5qR1.pdb1	5l5qS1.pdb1	1032.05
5l5qR1.pdb1	5l5qP1.pdb1	124.3
5l5qR1.pdb1	5l5qZ1.pdb1	536.1
5l5qY1.pdb1	5l5qX1.pdb1	634.15
5l5qY1.pdb1	5l5qJ1.pdb1	800.9
5l5qY1.pdb1	5l5qH1.pdb1	94.35
5l5qY1.pdb1	5l5qQ1.pdb1	313.4
5l5qY1.pdb1	5l5qZ1.pdb1	746.4
5l5qa1.pdb1	5l5qT1.pdb1	447.85
5l5qa1.pdb1	5l5qH1.pdb1	945.1
5l5qa1.pdb1	5l5qN1.pdb1	1335.7
5l5qa1.pdb1	5l5qS1.pdb1	595.8
5l5qa1.pdb1	5l5qZ1.pdb1	962.45
5l5qa1.pdb1	5l5qb1.pdb1	642.55
5l5qA1.pdb1	5l5qD1.pdb1	26.1
5l5qA1.pdb1	5l5qC1.pdb1	85.15
5l5qA1.pdb1	5l5qE1.pdb1	63.05
5l5qA1.pdb1	5l5qH1.pdb1	650.2
5l5qA1.pdb1	5l5qB1.pdb1	1359.6
5l5qD1.pdb1	5l5qC1.pdb1	1294.35
5l5qD1.pdb1	5l5qE1.pdb1	1026.4
5l5qD1.pdb1	5l5qK1.pdb1	396.95
5l5qD1.pdb1	5l5qB1.pdb1	126.4
