1ht5B1.pdb1	1ht5A1.pdb1	2479.8
6htdL1.pdb1	6htdK1.pdb1	698.15
6htdL1.pdb1	6htdD1.pdb1	522.3
6htdL1.pdb1	6htdM1.pdb1	945.85
6htdL1.pdb1	6htdE1.pdb1	372.35
6htdL1.pdb1	6htdV1.pdb1	1367.7
6htdQ1.pdb1	6htdR1.pdb1	1278.05
6htdI1.pdb1	6htdA1.pdb1	535.8
6htdI1.pdb1	6htdZ1.pdb1	711.75
6htdA1.pdb1	6htdD1.pdb1	28.05
6htdA1.pdb1	6htdE1.pdb1	50.05
6htdA1.pdb1	6htdG1.pdb1	1413.4
6htda1.pdb1	6htdN1.pdb1	961.8
6htda1.pdb1	6htdS1.pdb1	593.1
6htda1.pdb1	6htdZ1.pdb1	954.35
6htdN1.pdb1	6htdM1.pdb1	628.6
6htdN1.pdb1	6htdG1.pdb1	446.9
6htdK1.pdb1	6htdD1.pdb1	424.25
6htdK1.pdb1	6htdV1.pdb1	61.55
6htdD1.pdb1	6htdE1.pdb1	1014.6
6htdM1.pdb1	6htdE1.pdb1	579.95
6htdM1.pdb1	6htdV1.pdb1	647.2
6htdU1.pdb1	6htdV1.pdb1	607.45
6htdS1.pdb1	6htdR1.pdb1	1038.2
6htdS1.pdb1	6htdZ1.pdb1	371.1
6htdR1.pdb1	6htdZ1.pdb1	532.7
6htmB1.pdb2	6htmB2.pdb2	1053.7
1htnA1.pdb1	1htnA2.pdb1	795.35
1htnA1.pdb1	1htnA3.pdb1	795.35
1htnA2.pdb1	1htnA3.pdb1	795.35
1htvA1.pdb1	1htvB1.pdb1	772.6
1htvA1.pdb1	1htvH1.pdb1	76.35
1htvA1.pdb1	1htvD1.pdb1	59.25
1htvA1.pdb1	1htvG1.pdb1	40.85
1htvF1.pdb1	1htvB1.pdb1	52.95
1htvF1.pdb1	1htvL1.pdb1	408.8
1htvF1.pdb1	1htvE1.pdb1	685.5
1htvF1.pdb1	1htvJ1.pdb1	53.6
1htvF1.pdb1	1htvH1.pdb1	515.4
1htvF1.pdb1	1htvG1.pdb1	57.1
1htvF1.pdb1	1htvK1.pdb1	49.6
1htvB1.pdb1	1htvJ1.pdb1	59.05
1htvB1.pdb1	1htvH1.pdb1	401.1
1htvB1.pdb1	1htvC1.pdb1	33.4
1htvB1.pdb1	1htvD1.pdb1	495.95
1htvB1.pdb1	1htvG1.pdb1	35.55
1htvL1.pdb1	1htvE1.pdb1	105.25
1htvL1.pdb1	1htvJ1.pdb1	446.1
1htvL1.pdb1	1htvH1.pdb1	5.4
1htvL1.pdb1	1htvI1.pdb1	55.35
