3c23A4.pdb1	3c23B1.pdb1	555.3
3c23A4.pdb1	3c23A1.pdb1	461.2
3c23B1.pdb1	3c23A1.pdb1	1302.8
6c2fO1.pdb5	6c2fM1.pdb5	322.5
6c2fO1.pdb5	6c2fN1.pdb5	539.35
6c2fM1.pdb5	6c2fN1.pdb5	241.8
3c2pA1.pdb1	3c2pC1.pdb1	1957.1
2c23P2.pdb1	2c23A2.pdb1	699.45
2c23A1.pdb1	2c23P1.pdb1	699.45
2c23A1.pdb1	2c23A2.pdb1	880.6
5c2wB1.pdb1	5c2wA1.pdb1	1513.0
5c2wB1.pdb1	5c2wC1.pdb1	3225.0
5c2wB1.pdb1	5c2wD1.pdb1	267.0
5c2wF1.pdb1	5c2wE1.pdb1	3208.35
5c2wF1.pdb1	5c2wD1.pdb1	2429.2
5c2wE1.pdb1	5c2wA1.pdb1	271.9
5c2wE1.pdb1	5c2wD1.pdb1	1512.6
5c2wA1.pdb1	5c2wC1.pdb1	2436.85
5c2wA1.pdb1	5c2wD1.pdb1	868.05
2c2gB1.pdb1	2c2gA1.pdb1	4036.95
6c2qA1.pdb1	6c2qA2.pdb1	2226.35
2c2mC2.pdb1	2c2mB2.pdb1	309.8
2c2mC2.pdb1	2c2mB1.pdb1	56.75
2c2mC2.pdb1	2c2mA2.pdb1	102.05
2c2mB2.pdb1	2c2mB1.pdb1	1923.8
2c2mB2.pdb1	2c2mA2.pdb1	2187.9
2c2mB2.pdb1	2c2mA1.pdb1	434.85
2c2mB2.pdb1	2c2mC1.pdb1	56.75
2c2mB1.pdb1	2c2mA2.pdb1	434.85
2c2mB1.pdb1	2c2mA1.pdb1	2187.9
2c2mB1.pdb1	2c2mC1.pdb1	309.8
2c2mA2.pdb1	2c2mA1.pdb1	328.6
2c2mA1.pdb1	2c2mC1.pdb1	102.05
2c20B1.pdb1	2c20A1.pdb1	1001.9
3c2wB1.pdb4	3c2wA1.pdb4	1936.3
3c2xB1.pdb1	3c2xA1.pdb1	765.35
2c2lE1.pdb1	2c2lA1.pdb1	571.9
3c2lD1.pdb1	3c2lT1.pdb1	233.0
3c2lD1.pdb1	3c2lA1.pdb1	373.15
3c2lP1.pdb1	3c2lT1.pdb1	465.35
3c2lP1.pdb1	3c2lA1.pdb1	351.95
3c2lT1.pdb1	3c2lA1.pdb1	497.15
1c28B1.pdb1	1c28A1.pdb1	1153.55
1c28B1.pdb1	1c28C1.pdb1	660.75
1c28A1.pdb1	1c28C1.pdb1	780.1
1c2pB1.pdb1	1c2pA1.pdb1	507.8
4c2wC1.pdb2	4c2wB1.pdb2	1694.35
2c2lD1.pdb4	2c2lH1.pdb4	533.25
4c2sB1.pdb1	4c2sA1.pdb1	2359.55
4c22A3.pdb1	4c22A1.pdb1	2206.4
4c22A3.pdb1	4c22A2.pdb1	2206.4
4c22A3.pdb1	4c22B2.pdb1	1857.9
4c22A3.pdb1	4c22B3.pdb1	1191.5
4c22A1.pdb1	4c22A2.pdb1	2206.4
4c22A1.pdb1	4c22B1.pdb1	1191.45
4c22A1.pdb1	4c22B3.pdb1	1857.85
4c22A2.pdb1	4c22B1.pdb1	1857.85
4c22A2.pdb1	4c22B2.pdb1	1191.5
4c22B1.pdb1	4c22B2.pdb1	2221.95
4c22B1.pdb1	4c22B3.pdb1	2221.95
4c22B2.pdb1	4c22B3.pdb1	2221.9
2c2wC1.pdb1	2c2wA1.pdb1	1539.35
2c2wC1.pdb1	2c2wB2.pdb1	588.05
2c2wC1.pdb1	2c2wB1.pdb1	1489.05
2c2wA1.pdb1	2c2wA2.pdb1	597.3
2c2wA1.pdb1	2c2wB1.pdb1	1566.7
2c2wC2.pdb1	2c2wB2.pdb1	1489.05
2c2wC2.pdb1	2c2wA2.pdb1	1539.35
2c2wC2.pdb1	2c2wB1.pdb1	588.05
2c2wB2.pdb1	2c2wA2.pdb1	1566.75
6c2sU1.pdb1	6c2sD1.pdb1	371.7
6c2sU1.pdb1	6c2sV1.pdb1	1011.35
6c2sU1.pdb1	6c2sA1.pdb1	441.95
6c2sD1.pdb1	6c2sV1.pdb1	467.45
6c2sD1.pdb1	6c2sA1.pdb1	2538.65
6c2sV1.pdb1	6c2sA1.pdb1	371.1
3c2iA1.pdb1	3c2iB1.pdb1	287.0
3c2iA1.pdb1	3c2iC1.pdb1	262.4
3c2iB1.pdb1	3c2iC1.pdb1	881.8
4c2vC1.pdb2	4c2vB1.pdb2	1742.2
6c25A1.pdb1	6c25A2.pdb1	1647.7
2c2aA2.pdb1	2c2aA1.pdb1	2133.95
3c24A1.pdb1	3c24B1.pdb1	4408.65
4c2aB1.pdb1	4c2aA1.pdb1	1079.9
2c22A1.pdb1	2c22P1.pdb1	528.45
2c22A1.pdb1	2c22T1.pdb1	922.9
2c22P1.pdb1	2c22T1.pdb1	554.55
2c20E1.pdb3	2c20F1.pdb3	1031.8
2c2bC1.pdb2	2c2bD1.pdb2	3554.15
4c2uA1.pdb1	4c2uX1.pdb1	1086.45
4c2uA1.pdb1	4c2uY1.pdb1	122.85
4c2uX1.pdb1	4c2uY1.pdb1	873.15
4c2uX1.pdb1	4c2uD1.pdb1	158.6
4c2uY1.pdb1	4c2uD1.pdb1	1067.9
2c2xA1.pdb1	2c2xB1.pdb1	1594.7
3c29H1.pdb1	3c29F1.pdb1	1389.05
3c29H1.pdb1	3c29E1.pdb1	1490.05
3c29H1.pdb1	3c29B1.pdb1	26.2
3c29H1.pdb1	3c29G1.pdb1	1993.45
3c29H1.pdb1	3c29A1.pdb1	1763.35
3c29H1.pdb1	3c29D1.pdb1	1.95
3c29F1.pdb1	3c29E1.pdb1	1565.9
3c29F1.pdb1	3c29B1.pdb1	2.3
3c29F1.pdb1	3c29G1.pdb1	1366.0
3c29F1.pdb1	3c29A1.pdb1	51.45
3c29E1.pdb1	3c29G1.pdb1	1086.15
3c29E1.pdb1	3c29C1.pdb1	21.4
3c29B1.pdb1	3c29G1.pdb1	1770.25
3c29B1.pdb1	3c29A1.pdb1	1964.85
3c29B1.pdb1	3c29D1.pdb1	1401.2
3c29B1.pdb1	3c29C1.pdb1	1506.45
3c29G1.pdb1	3c29D1.pdb1	55.7
3c29A1.pdb1	3c29D1.pdb1	1411.9
3c29A1.pdb1	3c29C1.pdb1	1108.2
3c29D1.pdb1	3c29C1.pdb1	1571.8
4c2hB1.pdb1	4c2hA1.pdb1	2749.5
3c2pB1.pdb2	3c2pD1.pdb2	1839.5
3c21A3.pdb1	3c21A2.pdb1	1181.85
3c21A3.pdb1	3c21B1.pdb1	475.95
