5trgb1.pdb1	5trgV1.pdb1	416.35
5trgb1.pdb1	5trgM1.pdb1	453.75
5trgB1.pdb1	5trgA1.pdb1	857.15
5trgB1.pdb1	5trgC1.pdb1	842.95
5trgB1.pdb1	5trgJ1.pdb1	382.5
5trgS1.pdb1	5trga1.pdb1	385.4
5trgS1.pdb1	5trgR1.pdb1	858.45
5trgG1.pdb1	5trgA1.pdb1	784.9
5trgG1.pdb1	5trgF1.pdb1	754.45
5trgG1.pdb1	5trgN1.pdb1	597.1
5trgG1.pdb1	5trgH1.pdb1	403.85
5trgL1.pdb1	5trgV1.pdb1	454.15
5trgL1.pdb1	5trgM1.pdb1	452.75
5trgL1.pdb1	5trgK1.pdb1	463.4
5trgL1.pdb1	5trgE1.pdb1	627.25
5trgU1.pdb1	5trgV1.pdb1	397.2
5trgU1.pdb1	5trgO1.pdb1	853.2
5trgP1.pdb1	5trgX1.pdb1	388.4
5trgP1.pdb1	5trgO1.pdb1	802.0
5trgP1.pdb1	5trgW1.pdb1	615.35
5trgA1.pdb1	5trgH1.pdb1	609.35
5trga1.pdb1	5trgM1.pdb1	740.7
5trga1.pdb1	5trgN1.pdb1	455.2
5trgC1.pdb1	5trgK1.pdb1	402.85
5trgC1.pdb1	5trgJ1.pdb1	623.9
5trgV1.pdb1	5trgK1.pdb1	732.6
5trgV1.pdb1	5trgO1.pdb1	622.55
5trgV1.pdb1	5trgW1.pdb1	458.95
5trgM1.pdb1	5trgF1.pdb1	617.55
5trgM1.pdb1	5trgN1.pdb1	500.1
5trgM1.pdb1	5trgE1.pdb1	385.8
5trgX1.pdb1	5trgY1.pdb1	482.7
5trgX1.pdb1	5trgW1.pdb1	450.45
5trgX1.pdb1	5trgJ1.pdb1	456.6
5trgF1.pdb1	5trgN1.pdb1	388.45
5trgF1.pdb1	5trgE1.pdb1	864.3
5trgK1.pdb1	5trgW1.pdb1	451.6
5trgK1.pdb1	5trgJ1.pdb1	456.8
5trgN1.pdb1	5trgH1.pdb1	453.05
5trgH1.pdb1	5trgY1.pdb1	723.8
5trgO1.pdb1	5trgW1.pdb1	374.45
5trgY1.pdb1	5trgR1.pdb1	629.1
5trgW1.pdb1	5trgJ1.pdb1	736.55
5trtA1.pdb1	5trtD1.pdb1	709.1
5trtA1.pdb1	5trtB1.pdb1	1618.2
5trtA1.pdb1	5trtC1.pdb1	1325.65
5trtD1.pdb1	5trtB1.pdb1	1319.95
5trtD1.pdb1	5trtC1.pdb1	1601.0
5trtB1.pdb1	5trtC1.pdb1	691.45
5tryO1.pdb1	5tryU1.pdb1	838.65
