1utdZ1.pdb2	1utdV1.pdb2	373.45
1utdZ1.pdb2	1utd01.pdb2	128.05
1utdZ1.pdb2	1utdU1.pdb2	55.05
1utdZ1.pdb2	1utd91.pdb2	129.55
1utdZ1.pdb2	1utdL1.pdb2	43.85
1utdN1.pdb2	1utd31.pdb2	55.1
1utdN1.pdb2	1utdM1.pdb2	1135.95
1utdN1.pdb2	1utdL1.pdb2	0.3
1utdN1.pdb2	1utdO1.pdb2	1154.1
1utdN1.pdb2	1utd11.pdb2	33.15
1utdV1.pdb2	1utd01.pdb2	55.5
1utdV1.pdb2	1utdU1.pdb2	1155.3
1utdV1.pdb2	1utd91.pdb2	39.2
1utdV1.pdb2	1utdL1.pdb2	1160.15
1utdV1.pdb2	1utdT1.pdb2	0.85
1utdR1.pdb2	1utdQ1.pdb2	1155.65
1utdR1.pdb2	1utd61.pdb2	370.6
1utdR1.pdb2	1utd71.pdb2	56.0
1utdR1.pdb2	1utd51.pdb2	38.45
1utdR1.pdb2	1utdT1.pdb2	0.8
1utd31.pdb2	1utd41.pdb2	130.35
1utd31.pdb2	1utdO1.pdb2	362.45
1utd01.pdb2	1utdM1.pdb2	40.15
1utd01.pdb2	1utdL1.pdb2	416.1
1utd01.pdb2	1utd11.pdb2	129.75
1utdQ1.pdb2	1utd61.pdb2	55.95
1utdQ1.pdb2	1utd41.pdb2	37.4
1utdQ1.pdb2	1utd51.pdb2	369.6
1utdQ1.pdb2	1utdO1.pdb2	0.2
1utdM1.pdb2	1utdL1.pdb2	1117.7
1utdM1.pdb2	1utd11.pdb2	247.4
1utd61.pdb2	1utd71.pdb2	130.0
1utd61.pdb2	1utd51.pdb2	129.2
1utdU1.pdb2	1utd91.pdb2	370.15
1utdU1.pdb2	1utdL1.pdb2	2.1
1utdU1.pdb2	1utdT1.pdb2	1132.7
1utd91.pdb2	1utdT1.pdb2	56.4
1utd71.pdb2	1utdT1.pdb2	34.45
1utdL1.pdb2	1utd11.pdb2	56.65
1utd41.pdb2	1utd51.pdb2	128.8
1utd41.pdb2	1utdO1.pdb2	56.5
4utgA2.pdb1	4utgA1.pdb1	1470.75
4utzA1.pdb1	4utzD1.pdb1	448.6
3utxB1.pdb3	3utxA1.pdb3	783.8
1ut2C1.pdb1	1ut2A1.pdb1	649.2
1ut2C1.pdb1	1ut2B1.pdb1	663.95
1ut2A1.pdb1	1ut2B1.pdb1	656.5
4uttC2.pdb2	4uttB1.pdb2	1621.05
3utpE1.pdb1	3utpD1.pdb1	2276.45
1utcQ1.pdb2	1utcB1.pdb2	445.8
3utyA1.pdb3	3utyB1.pdb3	724.3
1utzA1.pdb1	1utzB1.pdb1	398.75
1utzA1.pdb1	1utzA2.pdb1	298.05
1utzA1.pdb1	1utzB3.pdb1	130.4
1utzA1.pdb1	1utzB2.pdb1	1.6
1utzA1.pdb1	1utzA3.pdb1	298.1
1utzB1.pdb1	1utzA2.pdb1	130.45
