1ghbG2.pdb1	1ghbE2.pdb1	228.7
1ghbG2.pdb1	1ghbP1.pdb1	52.8
1ghbG2.pdb1	1ghbF1.pdb1	117.35
1ghbE1.pdb1	1ghbF1.pdb1	469.5
1ghbP1.pdb1	1ghbF1.pdb1	59.2
3gh0A1.pdb1	3gh0A2.pdb1	2064.9
6gh4R1.pdb3	6gh4E1.pdb3	894.1
6gh4E1.pdb3	6gh4F1.pdb3	1300.9
6gh4G1.pdb4	6gh4H1.pdb4	1378.95
6gh4G1.pdb4	6gh4Y1.pdb4	895.65
3gh8G1.pdb4	3gh8H1.pdb4	5106.75
1ghaF1.pdb1	1ghaF2.pdb1	794.4
1ghaF1.pdb1	1ghaG1.pdb1	2852.25
1ghaF1.pdb1	1ghaP1.pdb1	96.25
1ghaF1.pdb1	1ghaG2.pdb1	121.35
1ghaF1.pdb1	1ghaP2.pdb1	91.35
1ghaF1.pdb1	1ghaE1.pdb1	487.95
1ghaF2.pdb1	1ghaG1.pdb1	121.35
1ghaF2.pdb1	1ghaP1.pdb1	91.35
1ghaF2.pdb1	1ghaG2.pdb1	2852.25
1ghaF2.pdb1	1ghaP2.pdb1	96.25
1ghaF2.pdb1	1ghaE2.pdb1	487.95
1ghaG1.pdb1	1ghaP1.pdb1	305.15
1ghaG1.pdb1	1ghaG2.pdb1	47.4
1ghaG1.pdb1	1ghaP2.pdb1	34.95
1ghaG1.pdb1	1ghaE1.pdb1	233.4
1ghaP1.pdb1	1ghaG2.pdb1	34.95
1ghaP1.pdb1	1ghaP2.pdb1	69.1
1ghaG2.pdb1	1ghaP2.pdb1	305.15
1ghaG2.pdb1	1ghaE2.pdb1	233.4
4ghhA1.pdb1	4ghhD1.pdb1	508.1
4ghhA1.pdb1	4ghhC1.pdb1	1297.2
4ghhA1.pdb1	4ghhB1.pdb1	1641.55
4ghhD1.pdb1	4ghhC1.pdb1	1606.25
4ghhD1.pdb1	4ghhB1.pdb1	1630.4
4ghhC1.pdb1	4ghhB1.pdb1	510.85
1gh0D1.pdb4	1gh0B1.pdb4	116.9
1gh0D1.pdb4	1gh0I1.pdb4	213.9
1gh0D1.pdb4	1gh0A1.pdb4	572.55
1gh0D1.pdb4	1gh0F1.pdb4	117.45
1gh0D1.pdb4	1gh0C1.pdb4	1584.0
1gh0Q2.pdb4	1gh0W2.pdb4	482.15
1gh0Q2.pdb4	1gh0N2.pdb4	551.25
1gh0Q2.pdb4	1gh0R2.pdb4	1580.3
1gh0Q2.pdb4	1gh0S2.pdb4	965.65
1gh0Q2.pdb4	1gh0T2.pdb4	217.65
1gh0V2.pdb4	1gh0X2.pdb4	115.15
1gh0V2.pdb4	1gh0S2.pdb4	593.3
1gh0V2.pdb4	1gh0U2.pdb4	1568.0
1gh0V2.pdb4	1gh0T2.pdb4	115.45
1gh0V2.pdb4	1gh0O2.pdb4	220.1
1gh0B1.pdb4	1gh0N2.pdb4	274.1
1gh0B1.pdb4	1gh0A1.pdb4	1569.95
1gh0B1.pdb4	1gh0K1.pdb4	201.5
1gh0B1.pdb4	1gh0M2.pdb4	182.65
1gh0B1.pdb4	1gh0F1.pdb4	113.6
1gh0B1.pdb4	1gh0E1.pdb4	584.15
1gh0L1.pdb4	1gh0H1.pdb4	116.4
1gh0L1.pdb4	1gh0I1.pdb4	609.9
1gh0L1.pdb4	1gh0W2.pdb4	16.15
1gh0L1.pdb4	1gh0A1.pdb4	215.85
1gh0L1.pdb4	1gh0K1.pdb4	1581.95
1gh0L1.pdb4	1gh0J1.pdb4	114.35
1gh0X2.pdb4	1gh0W2.pdb4	1575.6
1gh0X2.pdb4	1gh0K1.pdb4	14.4
1gh0X2.pdb4	1gh0U2.pdb4	524.75
1gh0X2.pdb4	1gh0M2.pdb4	207.0
1gh0X2.pdb4	1gh0T2.pdb4	118.55
1gh0H1.pdb4	1gh0G1.pdb4	1557.2
1gh0H1.pdb4	1gh0K1.pdb4	555.1
1gh0H1.pdb4	1gh0J1.pdb4	113.9
1gh0H1.pdb4	1gh0E1.pdb4	208.8
1gh0G1.pdb4	1gh0F1.pdb4	205.0
1gh0G1.pdb4	1gh0J1.pdb4	580.25
1gh0G1.pdb4	1gh0E1.pdb4	960.95
1gh0G1.pdb4	1gh0C1.pdb4	462.9
1gh0I1.pdb4	1gh0A1.pdb4	501.45
1gh0I1.pdb4	1gh0J1.pdb4	1550.1
1gh0I1.pdb4	1gh0C1.pdb4	976.55
1gh0W2.pdb4	1gh0N2.pdb4	216.15
1gh0W2.pdb4	1gh0A1.pdb4	57.3
1gh0W2.pdb4	1gh0K1.pdb4	1.5
1gh0W2.pdb4	1gh0M2.pdb4	979.35
1gh0W2.pdb4	1gh0T2.pdb4	539.5
1gh0N2.pdb4	1gh0R2.pdb4	113.25
1gh0N2.pdb4	1gh0A1.pdb4	184.7
1gh0N2.pdb4	1gh0P2.pdb4	112.45
1gh0N2.pdb4	1gh0M2.pdb4	1575.2
1gh0R2.pdb4	1gh0S2.pdb4	201.6
1gh0R2.pdb4	1gh0P2.pdb4	117.05
1gh0R2.pdb4	1gh0O2.pdb4	537.75
1gh0S2.pdb4	1gh0T2.pdb4	1569.45
1gh0S2.pdb4	1gh0O2.pdb4	500.15
1gh0A1.pdb4	1gh0K1.pdb4	969.25
1gh0P2.pdb4	1gh0U2.pdb4	212.45
1gh0P2.pdb4	1gh0M2.pdb4	558.85
1gh0P2.pdb4	1gh0O2.pdb4	1549.95
1gh0K1.pdb4	1gh0M2.pdb4	46.55
1gh0K1.pdb4	1gh0E1.pdb4	470.6
1gh0U2.pdb4	1gh0M2.pdb4	480.35
1gh0U2.pdb4	1gh0O2.pdb4	962.25
1gh0F1.pdb4	1gh0E1.pdb4	1564.95
1gh0F1.pdb4	1gh0C1.pdb4	535.55
1gh0J1.pdb4	1gh0C1.pdb4	199.4
6ghfB1.pdb1	6ghfA1.pdb1	1116.85
4ghoB2.pdb1	4ghoA1.pdb1	315.7
4gh5A1.pdb1	4gh5B1.pdb1	1386.95
4gh5A1.pdb1	4gh5C1.pdb1	1368.2
4gh5A1.pdb1	4gh5D1.pdb1	230.8
