3j9iO1.pdb1	3j9iT1.pdb1	2.05
3j9iO1.pdb1	3j9iU1.pdb1	1394.9
3j9iR1.pdb1	3j9iP1.pdb1	2.05
3j9iR1.pdb1	3j9iT1.pdb1	2.0
3j9iR1.pdb1	3j9iY1.pdb1	473.1
3j9iB1.pdb1	3j9iC1.pdb1	1394.95
3j9iH1.pdb1	3j9iN1.pdb1	740.65
3j9iH1.pdb1	3j9iX1.pdb1	614.6
3j9iH1.pdb1	3j9iY1.pdb1	608.65
3j9iW1.pdb1	3j9iX1.pdb1	740.75
3j9iW1.pdb1	3j9iP1.pdb1	473.1
3j9iN1.pdb1	3j9iF1.pdb1	531.25
3j9iN1.pdb1	3j9iY1.pdb1	614.6
3j9iN1.pdb1	3j9iM1.pdb1	740.7
3j9iX1.pdb1	3j9iP1.pdb1	531.25
3j9iX1.pdb1	3j9iY1.pdb1	740.65
3j9iF1.pdb1	3j9iM1.pdb1	473.1
3j9i21.pdb1	3j9iT1.pdb1	531.3
3j9i21.pdb1	3j9iU1.pdb1	473.1
3j9iP1.pdb1	3j9iU1.pdb1	2.0
3j9iT1.pdb1	3j9iU1.pdb1	1394.95
2j94A1.pdb1	2j94B1.pdb1	856.7
5j9sA1.pdb1	5j9sB1.pdb1	245.15
1j9tB1.pdb1	1j9tA1.pdb1	2066.9
1j9tB1.pdb1	1j9tC1.pdb1	2062.5
1j9tA1.pdb1	1j9tC1.pdb1	2050.0
3j9jA1.pdb1	3j9jD1.pdb1	33.3
3j9jA1.pdb1	3j9jC1.pdb1	2044.15
3j9jA1.pdb1	3j9jB1.pdb1	2045.55
3j9jD1.pdb1	3j9jC1.pdb1	2043.75
3j9jD1.pdb1	3j9jB1.pdb1	2043.25
3j9jC1.pdb1	3j9jB1.pdb1	33.8
5j9oA1.pdb1	5j9oA2.pdb1	1623.8
4j9eB1.pdb1	4j9eA1.pdb1	461.45
5j90B1.pdb1	5j90A1.pdb1	812.35
6j9cF1.pdb2	6j9cD1.pdb2	472.3
