4a8iA3.pdb1	4a8iA1.pdb1	4689.7
4a8iA3.pdb1	4a8iA2.pdb1	1473.0
4a8iA1.pdb1	4a8iA2.pdb1	1455.4
2a84A1.pdb1	2a84A2.pdb1	1153.5
6a8xA1.pdb1	6a8xB1.pdb1	1065.6
6a89D1.pdb2	6a89C1.pdb2	513.7
4a82A1.pdb1	4a82B1.pdb1	682.15
1a8lA2.pdb2	1a8lA1.pdb2	918.4
1a8sA8.pdb2	1a8sA5.pdb2	119.1
1a8sA8.pdb2	1a8sA12.pdb2	697.8
1a8sA8.pdb2	1a8sA4.pdb2	695.7
1a8sA5.pdb2	1a8sA11.pdb2	697.8
1a8sA5.pdb2	1a8sA2.pdb2	695.65
1a8sA1.pdb2	1a8sA7.pdb2	695.65
1a8sA1.pdb2	1a8sA4.pdb2	119.6
1a8sA1.pdb2	1a8sA10.pdb2	698.1
1a8sA11.pdb2	1a8sA2.pdb2	698.1
1a8sA11.pdb2	1a8sA10.pdb2	118.2
1a8sA12.pdb2	1a8sA4.pdb2	698.1
1a8sA12.pdb2	1a8sA9.pdb2	118.2
1a8sA7.pdb2	1a8sA10.pdb2	697.8
1a8sA7.pdb2	1a8sA6.pdb2	119.1
1a8sA2.pdb2	1a8sA3.pdb2	119.6
1a8sA6.pdb2	1a8sA9.pdb2	697.8
1a8sA6.pdb2	1a8sA3.pdb2	695.7
1a8sA9.pdb2	1a8sA3.pdb2	698.1
6a87C1.pdb1	6a87B1.pdb1	655.4
6a87C1.pdb1	6a87A1.pdb1	665.8
6a87B1.pdb1	6a87A1.pdb1	656.1
4a8pA1.pdb1	4a8pB1.pdb1	1979.95
4a8pA1.pdb1	4a8pC1.pdb1	1938.25
4a8pB1.pdb1	4a8pC1.pdb1	1974.35
6a8bA1.pdb1	6a8bB1.pdb1	1319.95
2a83A1.pdb1	2a83C1.pdb1	1091.4
2a83A1.pdb1	2a83B1.pdb1	1290.6
1a8rA2.pdb1	1a8rD1.pdb1	2332.8
1a8rA2.pdb1	1a8rE2.pdb1	1218.85
1a8rA2.pdb1	1a8rB2.pdb1	1228.8
1a8rA2.pdb1	1a8rC1.pdb1	37.95
1a8rA2.pdb1	1a8rE1.pdb1	254.5
1a8rC2.pdb1	1a8rB1.pdb1	2331.5
1a8rC2.pdb1	1a8rB2.pdb1	1222.7
1a8rC2.pdb1	1a8rC1.pdb1	257.3
1a8rC2.pdb1	1a8rD2.pdb1	1235.65
1a8rC2.pdb1	1a8rA1.pdb1	37.95
1a8rD1.pdb1	1a8rE2.pdb1	36.1
1a8rD1.pdb1	1a8rB2.pdb1	264.65
1a8rD1.pdb1	1a8rC1.pdb1	1235.65
1a8rD1.pdb1	1a8rE1.pdb1	1230.4
1a8rE2.pdb1	1a8rD2.pdb1	1230.4
1a8rE2.pdb1	1a8rE1.pdb1	2353.5
1a8rE2.pdb1	1a8rA1.pdb1	254.5
1a8rB1.pdb1	1a8rB2.pdb1	36.55
1a8rB1.pdb1	1a8rC1.pdb1	1222.75
1a8rB1.pdb1	1a8rD2.pdb1	264.65
1a8rB1.pdb1	1a8rA1.pdb1	1228.85
1a8rB2.pdb1	1a8rC1.pdb1	2331.45
1a8rD2.pdb1	1a8rE1.pdb1	36.1
1a8rD2.pdb1	1a8rA1.pdb1	2332.8
1a8rE1.pdb1	1a8rA1.pdb1	1218.85
5a8bB1.pdb1	5a8bA1.pdb1	965.4
5a8qA1.pdb1	5a8qA3.pdb1	882.85
5a8qA1.pdb1	5a8qA2.pdb1	880.55
5a8qA3.pdb1	5a8qA2.pdb1	881.05
1a8yA1.pdb1	1a8yA2.pdb1	2046.75
5a8hP1.pdb1	5a8hM1.pdb1	527.25
5a8hP1.pdb1	5a8hO1.pdb1	1808.05
5a8hQ1.pdb1	5a8hM1.pdb1	97.45
5a8hQ1.pdb1	5a8hR1.pdb1	1697.4
5a8hC1.pdb1	5a8hI1.pdb1	9.2
5a8hC1.pdb1	5a8hO1.pdb1	55.25
5a8hC1.pdb1	5a8hD1.pdb1	1809.5
5a8hC1.pdb1	5a8hA1.pdb1	138.2
5a8hL1.pdb1	5a8hK1.pdb1	1695.95
5a8hL1.pdb1	5a8hH1.pdb1	7.75
5a8hL1.pdb1	5a8hG1.pdb1	1499.6
5a8hK1.pdb1	5a8hG1.pdb1	14.7
5a8hM1.pdb1	5a8hR1.pdb1	1690.05
5a8hM1.pdb1	5a8hN1.pdb1	1109.7
5a8hM1.pdb1	5a8hO1.pdb1	138.4
5a8hH1.pdb1	5a8hG1.pdb1	1110.05
5a8hF1.pdb1	5a8hE1.pdb1	1698.1
5a8hF1.pdb1	5a8hB1.pdb1	37.15
5a8hF1.pdb1	5a8hA1.pdb1	1240.65
5a8hI1.pdb1	5a8hJ1.pdb1	1809.65
5a8hI1.pdb1	5a8hO1.pdb1	16.5
5a8hI1.pdb1	5a8hG1.pdb1	139.2
5a8hJ1.pdb1	5a8hG1.pdb1	527.5
5a8hR1.pdb1	5a8hN1.pdb1	0.4
5a8hB1.pdb1	5a8hA1.pdb1	1108.7
5a8hD1.pdb1	5a8hA1.pdb1	529.05
2a8qA1.pdb1	2a8qB1.pdb1	1337.1
1a82A1.pdb1	1a82A2.pdb1	1491.0
2a87A1.pdb1	2a87B1.pdb1	2562.55
6a8gP1.pdb1	6a8gA1.pdb1	798.9
2a8jA1.pdb1	2a8jB1.pdb1	1975.85
3a8iB1.pdb2	3a8iF1.pdb2	570.65
4a8jC1.pdb1	4a8jA1.pdb1	1291.8
4a8jC1.pdb1	4a8jE1.pdb1	1584.1
4a8jC1.pdb1	4a8jB1.pdb1	125.2
4a8jD1.pdb1	4a8jE1.pdb1	862.2
4a8jD1.pdb1	4a8jF1.pdb1	1295.8
4a8jA1.pdb1	4a8jB1.pdb1	869.3
4a8jE1.pdb1	4a8jF1.pdb1	125.45
4a8jF1.pdb1	4a8jB1.pdb1	1582.3
6a8oB1.pdb1	6a8oA2.pdb1	441.8
6a8oB1.pdb1	6a8oP1.pdb1	542.85
