4lncA3.pdb1	4lncA4.pdb1	1523.2
4lncA3.pdb1	4lncA1.pdb1	1526.95
4lncA3.pdb1	4lncA2.pdb1	4696.4
4lncA4.pdb1	4lncA1.pdb1	4696.4
4lncA4.pdb1	4lncA2.pdb1	1527.0
4lncA1.pdb1	4lncA2.pdb1	1523.1
4lnoF2.pdb1	4lnoE2.pdb1	1579.65
4lnoF2.pdb1	4lnoC1.pdb1	65.65
4lnoF2.pdb1	4lnoA2.pdb1	1597.05
4lnoF2.pdb1	4lnoD1.pdb1	2014.3
4lnoB1.pdb1	4lnoC1.pdb1	1614.15
4lnoB1.pdb1	4lnoB2.pdb1	2048.7
4lnoB1.pdb1	4lnoA2.pdb1	55.4
4lnoB1.pdb1	4lnoA1.pdb1	1540.3
