4xd9A1.pdb1	4xd9B1.pdb1	2725.1
5xdsA17.pdb1	5xdsA23.pdb1	814.8
5xdsA17.pdb1	5xdsA10.pdb1	768.55
5xdsA17.pdb1	5xdsA18.pdb1	11.0
5xdsA17.pdb1	5xdsA14.pdb1	815.0
5xdsA17.pdb1	5xdsA7.pdb1	240.0
5xdsA17.pdb1	5xdsA9.pdb1	775.3
5xdsA2.pdb1	5xdsA21.pdb1	241.25
5xdsA2.pdb1	5xdsA16.pdb1	769.7
5xdsA2.pdb1	5xdsA11.pdb1	815.4
5xdsA2.pdb1	5xdsA1.pdb1	10.8
5xdsA2.pdb1	5xdsA5.pdb1	814.95
5xdsA2.pdb1	5xdsA15.pdb1	769.7
5xdsA6.pdb1	5xdsA21.pdb1	768.55
5xdsA6.pdb1	5xdsA3.pdb1	815.0
5xdsA6.pdb1	5xdsA5.pdb1	11.0
5xdsA6.pdb1	5xdsA18.pdb1	240.0
5xdsA6.pdb1	5xdsA22.pdb1	775.3
5xdsA6.pdb1	5xdsA9.pdb1	814.8
5xdsA21.pdb1	5xdsA5.pdb1	775.3
5xdsA21.pdb1	5xdsA18.pdb1	814.8
5xdsA21.pdb1	5xdsA22.pdb1	11.0
5xdsA21.pdb1	5xdsA15.pdb1	815.4
5xdsA24.pdb1	5xdsA20.pdb1	814.8
5xdsA24.pdb1	5xdsA16.pdb1	815.4
5xdsA24.pdb1	5xdsA1.pdb1	241.25
5xdsA24.pdb1	5xdsA23.pdb1	11.0
5xdsA24.pdb1	5xdsA8.pdb1	768.55
5xdsA24.pdb1	5xdsA7.pdb1	775.3
5xdsA20.pdb1	5xdsA16.pdb1	814.95
5xdsA20.pdb1	5xdsA12.pdb1	768.45
5xdsA20.pdb1	5xdsA11.pdb1	775.3
5xdsA20.pdb1	5xdsA8.pdb1	240.0
5xdsA20.pdb1	5xdsA19.pdb1	11.0
5xdsA16.pdb1	5xdsA11.pdb1	241.25
5xdsA16.pdb1	5xdsA1.pdb1	769.7
5xdsA16.pdb1	5xdsA15.pdb1	10.8
5xdsA13.pdb1	5xdsA12.pdb1	241.3
5xdsA13.pdb1	5xdsA3.pdb1	769.8
5xdsA13.pdb1	5xdsA14.pdb1	10.8
5xdsA13.pdb1	5xdsA19.pdb1	815.0
5xdsA13.pdb1	5xdsA4.pdb1	769.8
5xdsA13.pdb1	5xdsA22.pdb1	815.45
5xdsA12.pdb1	5xdsA11.pdb1	11.0
5xdsA12.pdb1	5xdsA8.pdb1	814.8
5xdsA12.pdb1	5xdsA19.pdb1	775.3
5xdsA12.pdb1	5xdsA4.pdb1	815.45
5xdsA3.pdb1	5xdsA14.pdb1	769.8
5xdsA3.pdb1	5xdsA4.pdb1	10.8
5xdsA3.pdb1	5xdsA22.pdb1	241.3
5xdsA3.pdb1	5xdsA9.pdb1	815.45
5xdsA11.pdb1	5xdsA5.pdb1	814.8
5xdsA11.pdb1	5xdsA19.pdb1	768.55
5xdsA1.pdb1	5xdsA10.pdb1	815.4
5xdsA1.pdb1	5xdsA7.pdb1	814.95
5xdsA1.pdb1	5xdsA15.pdb1	769.7
5xdsA5.pdb1	5xdsA19.pdb1	240.0
5xdsA5.pdb1	5xdsA22.pdb1	768.45
5xdsA23.pdb1	5xdsA8.pdb1	775.3
5xdsA23.pdb1	5xdsA14.pdb1	815.45
5xdsA23.pdb1	5xdsA7.pdb1	768.45
5xdsA23.pdb1	5xdsA4.pdb1	241.3
5xdsA10.pdb1	5xdsA18.pdb1	775.3
5xdsA10.pdb1	5xdsA7.pdb1	814.8
5xdsA10.pdb1	5xdsA15.pdb1	241.25
5xdsA10.pdb1	5xdsA9.pdb1	11.0
5xdsA18.pdb1	5xdsA15.pdb1	814.95
5xdsA18.pdb1	5xdsA9.pdb1	768.45
5xdsA8.pdb1	5xdsA7.pdb1	11.0
5xdsA8.pdb1	5xdsA4.pdb1	815.0
5xdsA14.pdb1	5xdsA4.pdb1	769.8
5xdsA14.pdb1	5xdsA9.pdb1	241.3
5xdsA19.pdb1	5xdsA22.pdb1	814.8
1xd7A2.pdb1	1xd7A1.pdb1	1272.8
4xd6G1.pdb1	4xd6A1.pdb1	1302.75
5xd5B1.pdb1	5xd5A1.pdb1	748.45
2xdvA2.pdb2	2xdvA1.pdb2	3134.6
1xd2B1.pdb1	1xd2C1.pdb1	1734.4
