3sqbA1.pdb1	3sqbB1.pdb1	1733.85
1sq4A3.pdb1	1sq4B2.pdb1	165.5
1sq4A3.pdb1	1sq4B1.pdb1	3.65
1sq4A1.pdb1	1sq4B3.pdb1	165.5
1sq4A1.pdb1	1sq4B1.pdb1	451.0
1sq4A1.pdb1	1sq4A4.pdb1	1545.15
1sq4B3.pdb1	1sq4B2.pdb1	1541.05
1sq4B3.pdb1	1sq4B1.pdb1	1541.05
1sq4B2.pdb1	1sq4A4.pdb1	3.65
1sq4B1.pdb1	1sq4A4.pdb1	165.5
1sq4B4.pdb3	1sq4B2.pdb3	1541.05
1sq4B4.pdb3	1sq4B1.pdb3	1541.05
1sq4B2.pdb3	1sq4B3.pdb3	1541.05
1sq4B1.pdb3	1sq4B3.pdb3	1541.05
1sqjB1.pdb1	1sqjA1.pdb1	488.2
1sqqB2.pdb1	1sqqB1.pdb1	684.3
1sqqB2.pdb1	1sqqA2.pdb1	2172.1
1sqqB2.pdb1	1sqqF1.pdb1	450.2
1sqqB2.pdb1	1sqqI2.pdb1	2095.75
1sqqG1.pdb1	1sqqA1.pdb1	857.2
1sqqG1.pdb1	1sqqC1.pdb1	1087.35
1sqqG1.pdb1	1sqqE1.pdb1	644.05
1sqqG1.pdb1	1sqqD1.pdb1	731.85
1sqqG1.pdb1	1sqqF1.pdb1	458.5
1sqqG1.pdb1	1sqqH1.pdb1	145.5
1sqqF2.pdb1	1sqqC2.pdb1	1219.85
1sqqF2.pdb1	1sqqA1.pdb1	64.85
1sqqF2.pdb1	1sqqB1.pdb1	450.2
1sqqF2.pdb1	1sqqK1.pdb1	247.55
1sqqF2.pdb1	1sqqA2.pdb1	12.95
1sqqF2.pdb1	1sqqD2.pdb1	380.15
1sqqF2.pdb1	1sqqG2.pdb1	458.5
1sqqI1.pdb1	1sqqA1.pdb1	1393.8
1sqqI1.pdb1	1sqqB1.pdb1	2095.75
1sqqC2.pdb1	1sqqC1.pdb1	1166.8
1sqqC2.pdb1	1sqqK1.pdb1	105.9
1sqqC2.pdb1	1sqqA2.pdb1	404.2
1sqqC2.pdb1	1sqqE2.pdb1	526.15
1sqqC2.pdb1	1sqqE1.pdb1	1013.8
1sqqC2.pdb1	1sqqD2.pdb1	1669.5
1sqqC2.pdb1	1sqqG2.pdb1	1087.35
1sqqA1.pdb1	1sqqC1.pdb1	404.2
1sqqA1.pdb1	1sqqB1.pdb1	2172.1
1sqqA1.pdb1	1sqqK1.pdb1	375.2
1sqqA1.pdb1	1sqqE1.pdb1	1059.8
1sqqA1.pdb1	1sqqD1.pdb1	145.65
1sqqA1.pdb1	1sqqF1.pdb1	12.95
1sqqA1.pdb1	1sqqJ1.pdb1	272.35
1sqqC1.pdb1	1sqqE2.pdb1	1013.8
1sqqC1.pdb1	1sqqE1.pdb1	526.15
1sqqC1.pdb1	1sqqD1.pdb1	1669.5
1sqqC1.pdb1	1sqqF1.pdb1	1219.85
1sqqC1.pdb1	1sqqK2.pdb1	105.9
1sqqK1.pdb1	1sqqE1.pdb1	113.15
1sqqK1.pdb1	1sqqJ1.pdb1	740.7
1sqqA2.pdb1	1sqqE2.pdb1	1059.8
1sqqA2.pdb1	1sqqJ2.pdb1	272.35
1sqqA2.pdb1	1sqqF1.pdb1	64.85
1sqqA2.pdb1	1sqqK2.pdb1	375.2
1sqqA2.pdb1	1sqqD2.pdb1	145.65
1sqqA2.pdb1	1sqqG2.pdb1	857.2
1sqqA2.pdb1	1sqqI2.pdb1	1393.8
1sqqE2.pdb1	1sqqJ2.pdb1	638.8
1sqqE2.pdb1	1sqqK2.pdb1	113.15
1sqqE2.pdb1	1sqqD2.pdb1	857.9
1sqqE2.pdb1	1sqqG2.pdb1	644.05
1sqqE1.pdb1	1sqqD1.pdb1	857.9
1sqqE1.pdb1	1sqqJ1.pdb1	638.8
1sqqD1.pdb1	1sqqF1.pdb1	380.15
1sqqD1.pdb1	1sqqH1.pdb1	1164.7
1sqqD1.pdb1	1sqqD2.pdb1	457.1
