3upjB1.pdb1	3upjA1.pdb1	1666.05
5up9D1.pdb1	5up9E1.pdb1	537.7
5up9D1.pdb1	5up9A1.pdb1	26.85
5up9B1.pdb1	5up9F1.pdb1	693.75
5up9B1.pdb1	5up9A3.pdb1	716.8
5up9B1.pdb1	5up9B3.pdb1	498.1
5up9B1.pdb1	5up9A1.pdb1	1472.35
5up9F1.pdb1	5up9E3.pdb1	1469.65
5up9F1.pdb1	5up9A3.pdb1	728.15
5up9F1.pdb1	5up9E1.pdb1	23.5
5up9F1.pdb1	5up9A1.pdb1	524.45
5up9D2.pdb1	5up9A2.pdb1	26.85
5up9D2.pdb1	5up9E4.pdb1	691.1
5up9D2.pdb1	5up9F2.pdb1	543.15
5up9D2.pdb1	5up9E2.pdb1	537.7
5up9A2.pdb1	5up9F3.pdb1	728.15
5up9A2.pdb1	5up9F2.pdb1	524.45
5up9A2.pdb1	5up9B3.pdb1	716.8
5up9A2.pdb1	5up9E2.pdb1	531.55
5up9A4.pdb1	5up9F4.pdb1	524.45
5up9A4.pdb1	5up9E4.pdb1	531.55
5up9A4.pdb1	5up9F2.pdb1	728.15
5up9A4.pdb1	5up9D4.pdb1	26.85
5up9F3.pdb1	5up9E3.pdb1	23.5
5up9F3.pdb1	5up9A3.pdb1	524.45
5up9F3.pdb1	5up9B3.pdb1	693.75
5up9F3.pdb1	5up9E2.pdb1	1469.65
5up9E3.pdb1	5up9C3.pdb1	733.2
5up9E3.pdb1	5up9A3.pdb1	531.55
5up9F4.pdb1	5up9E4.pdb1	23.5
5up9F4.pdb1	5up9E1.pdb1	1469.65
5up9F4.pdb1	5up9A1.pdb1	728.15
5up9F4.pdb1	5up9D4.pdb1	543.15
5up9E4.pdb1	5up9F2.pdb1	1469.65
5up9E4.pdb1	5up9D4.pdb1	537.7
5up9F2.pdb1	5up9E2.pdb1	23.5
5up9A3.pdb1	5up9B3.pdb1	1472.35
5up9E1.pdb1	5up9A1.pdb1	531.55
5up9E1.pdb1	5up9D4.pdb1	691.1
4up6A1.pdb1	4up6B1.pdb1	1324.55
4up6A1.pdb1	4up6C1.pdb1	991.1
4up6B1.pdb1	4up6C1.pdb1	1404.2
5upyA2.pdb1	5upyA4.pdb1	2457.6
5upyA2.pdb1	5upyA3.pdb1	2458.2
5upyA1.pdb1	5upyA4.pdb1	2458.25
5upyA1.pdb1	5upyA3.pdb1	2457.65
3up1B1.pdb1	3up1A1.pdb1	594.1
4upkA4.pdb3	4upkB1.pdb3	2744.65
4upkA4.pdb3	4upkA3.pdb3	1215.4
4upkB1.pdb3	4upkB2.pdb3	1222.8
4upkB2.pdb3	4upkA3.pdb3	2744.65
5uptA1.pdb1	5uptA2.pdb1	2112.6
3upqT1.pdb1	3upqP1.pdb1	282.65
3upqT1.pdb1	3upqD1.pdb1	190.0
3upqT1.pdb1	3upqA1.pdb1	739.8
