3wv9A1.pdb5	3wv9A2.pdb5	1119.25
3wv9A1.pdb5	3wv9A3.pdb5	1119.25
3wv9A2.pdb5	3wv9A3.pdb5	1119.35
2wv4D1.pdb1	2wv4B1.pdb1	768.75
1wv1A1.pdb1	1wv1A2.pdb1	2174.6
4wvjA1.pdb1	4wvjD1.pdb1	730.95
3wv2A1.pdb3	3wv2B1.pdb3	1136.25
2wveA1.pdb1	2wveB1.pdb1	2686.95
2wvjE1.pdb2	2wvjG1.pdb2	1256.75
2wvjE1.pdb2	2wvjF1.pdb2	826.65
2wvjE1.pdb2	2wvjH1.pdb2	40.2
2wvjG1.pdb2	2wvjF1.pdb2	42.6
2wvjG1.pdb2	2wvjH1.pdb2	820.65
2wvjF1.pdb2	2wvjH1.pdb2	1264.1
3wvrD1.pdb1	3wvrA1.pdb1	1179.15
2wvaE1.pdb2	2wvaB1.pdb2	1159.65
2wvaE1.pdb2	2wvaF1.pdb2	4141.85
2wvaE1.pdb2	2wvaA1.pdb2	700.25
2wvaB1.pdb2	2wvaF1.pdb2	704.2
2wvaB1.pdb2	2wvaA1.pdb2	4152.3
2wvaF1.pdb2	2wvaA1.pdb2	1129.95
2wv5G1.pdb4	2wv5C1.pdb4	738.8
2wvlB1.pdb1	2wvlA1.pdb1	1693.0
2wv4C1.pdb2	2wv4A1.pdb2	793.05
3wv9D2.pdb8	3wv9D1.pdb8	1173.15
3wv9D2.pdb8	3wv9D3.pdb8	1173.15
3wv9D1.pdb8	3wv9D3.pdb8	1173.15
2wvkB1.pdb1	2wvkA1.pdb1	1679.9
1wvbA1.pdb1	1wvbA2.pdb1	696.0
1wvbA1.pdb1	1wvbA3.pdb1	695.95
1wvbA2.pdb1	1wvbA3.pdb1	696.0
4wvxA1.pdb1	4wvxB1.pdb1	1624.3
3wv1A1.pdb3	3wv1B1.pdb3	1094.9
2wv6D1.pdb2	2wv6H1.pdb2	1020.5
2wv6D1.pdb2	2wv6E1.pdb2	939.8
2wv6F1.pdb2	2wv6E1.pdb2	1009.95
2wv6F1.pdb2	2wv6G1.pdb2	1220.75
2wv6H1.pdb2	2wv6G1.pdb2	1046.9
1wvvA3.pdb2	1wvvB3.pdb2	978.75
1wvvA3.pdb2	1wvvA1.pdb2	408.0
1wvvA3.pdb2	1wvvA2.pdb2	408.1
1wvvA3.pdb2	1wvvB2.pdb2	367.85
1wvvB3.pdb2	1wvvB1.pdb2	191.35
1wvvB3.pdb2	1wvvA1.pdb2	366.95
1wvvB3.pdb2	1wvvB2.pdb2	192.2
1wvvB1.pdb2	1wvvA1.pdb2	977.6
1wvvB1.pdb2	1wvvA2.pdb2	368.4
1wvvB1.pdb2	1wvvB2.pdb2	191.25
